model,experiment,cell,n,errors,gated_out,max_concurrency,request_rate,audio_s_per_s,qps,rtf_p99,latency_p99_s,ttfa_p99_s,mean_audio_s
higgs-v3-4b,b8_program,hcol_qps_agg32_s12,40,0,0,,2.0,8.541,2.134,0.3732,1.4789,0.4814,4.002
higgs-v3-4b,b8_program,hcol_qps_agg32_s13,40,0,0,,2.0,9.698,2.402,0.399,1.4811,0.5937,4.037
higgs-v3-4b,b8_program,hcol_qps_agg32_s14,40,0,0,,2.0,9.281,2.332,0.372,1.3892,0.5133,3.979
higgs-v3-4b,b8_program,hcol_qps_agg32_s15,40,0,0,,2.0,8.3,2.059,0.2926,1.377,0.5458,4.03
higgs-v3-4b,b8_program,hcol_qps_agg32_s2,40,0,0,,2.0,9.973,2.506,0.4063,1.471,0.5605,3.979
higgs-v3-4b,b8_program,hcol_qps_agg32_s3,40,0,0,,2.0,8.707,2.147,0.3753,1.4657,0.4961,4.055
higgs-v3-4b,b8_program,hcol_qps_agg32_s4,40,0,0,,2.0,7.726,1.919,0.3535,1.3885,0.4813,4.025
higgs-v3-4b,b8_program,hcol_qps_agg32_s5,40,0,0,,2.0,6.658,1.66,0.3134,1.2873,0.5112,4.012
higgs-v3-4b,b8_program,hcol_qps_agg32_s6,40,0,0,,2.0,6.859,1.694,0.3641,1.2285,0.4491,4.049
higgs-v3-4b,b8_program,hcol_qps_agg32_s7,40,0,0,,2.0,6.23,1.558,0.3596,1.1801,0.5319,3.998
higgs-v3-4b,b8_program,hcol_qps_agg32_s8,40,0,0,,2.0,8.695,2.16,0.3811,1.443,0.5998,4.026
higgs-v3-4b,b8_program,hcol_qps_agg32_s9,40,0,0,,2.0,8.284,2.063,0.3763,1.4148,0.4796,4.015
higgs-v3-4b,b8_program,hcol_qps_agg64_s0,40,0,0,,4.0,12.234,3.034,0.255,1.3177,0.3314,4.032
higgs-v3-4b,b8_program,hcol_qps_agg64_s1,40,0,0,,4.0,13.796,3.426,0.2673,1.3648,0.3125,4.027
higgs-v3-4b,b8_program,hcol_qps_agg64_s10,40,0,0,,4.0,11.106,2.757,0.2452,1.343,0.3216,4.029
higgs-v3-4b,b8_program,hcol_qps_agg64_s11,40,0,0,,4.0,14.177,3.527,0.2828,1.3964,0.3354,4.02
higgs-v3-4b,b8_program,hcol_qps_agg64_s12,40,0,0,,4.0,14.244,3.541,0.2779,1.3632,0.3281,4.023
higgs-v3-4b,b8_program,hcol_qps_agg64_s13,40,0,0,,4.0,11.839,2.947,0.2819,1.4246,0.3164,4.017
higgs-v3-4b,b8_program,hcol_qps_agg64_s14,40,0,0,,4.0,15.111,3.743,0.2858,1.4349,0.3394,4.037
higgs-v3-4b,b8_program,hcol_qps_agg64_s15,40,0,0,,4.0,17.021,4.212,0.2958,1.5005,0.3403,4.041
higgs-v3-4b,b8_program,hcol_qps_agg64_s2,40,0,0,,4.0,17.344,4.284,0.3031,1.3994,0.3589,4.049
higgs-v3-4b,b8_program,hcol_qps_agg64_s3,40,0,0,,4.0,11.179,2.774,0.2624,1.2277,0.3071,4.03
higgs-v3-4b,b8_program,hcol_qps_agg64_s4,40,0,0,,4.0,19.12,4.769,0.318,1.6352,0.4158,4.009
higgs-v3-4b,b8_program,hcol_qps_agg64_s5,40,0,0,,4.0,15.192,3.805,0.3132,1.4051,0.3341,3.993
higgs-v3-4b,b8_program,hcol_qps_agg64_s6,40,0,0,,4.0,15.302,3.796,0.2562,1.3849,0.3394,4.031
higgs-v3-4b,b8_program,hcol_qps_agg64_s7,40,0,0,,4.0,19.707,4.848,0.3364,1.4067,0.3627,4.065
higgs-v3-4b,b8_program,hcol_qps_agg64_s8,40,0,0,,4.0,17.338,4.321,0.2796,1.4363,0.4095,4.012
higgs-v3-4b,b8_program,hcol_qps_agg64_s9,40,0,0,,4.0,13.643,3.395,0.2895,1.4332,0.3348,4.018
higgs-v3-4b,b8_program,hcol_qps_agg96_s0,40,0,0,,6.0,19.709,4.911,0.2709,1.322,0.3349,4.013
higgs-v3-4b,b8_program,hcol_qps_agg96_s1,40,0,0,,6.0,24.038,6.0,0.322,1.5223,0.3639,4.006
higgs-v3-4b,b8_program,hcol_qps_agg96_s10,40,0,0,,6.0,21.27,5.312,0.3304,1.3932,0.3313,4.004
higgs-v3-4b,b8_program,hcol_qps_agg96_s11,40,0,0,,6.0,21.8,5.389,0.3155,1.6118,0.3836,4.045
higgs-v3-4b,b8_program,hcol_qps_agg96_s12,40,0,0,,6.0,25.177,6.229,0.301,1.5346,0.4386,4.042
higgs-v3-4b,b8_program,hcol_qps_agg96_s13,40,0,0,,6.0,20.76,5.145,0.3219,1.4266,0.3567,4.035
higgs-v3-4b,b8_program,hcol_qps_agg96_s14,40,0,0,,6.0,26.113,6.448,0.3339,1.7375,0.3595,4.05
higgs-v3-4b,b8_program,hcol_qps_agg96_s15,40,0,0,,6.0,23.145,5.728,0.2778,1.5422,0.3899,4.041
higgs-v3-4b,b8_program,hcol_qps_agg96_s2,40,0,0,,6.0,21.851,5.369,0.2782,1.5225,0.3479,4.07
higgs-v3-4b,b8_program,hcol_qps_agg96_s3,40,0,0,,6.0,21.237,5.237,0.3334,1.4635,0.36,4.055
higgs-v3-4b,b8_program,hcol_qps_agg96_s4,40,0,0,,6.0,24.736,6.133,0.351,1.76,0.3725,4.033
higgs-v3-4b,b8_program,hcol_qps_agg96_s5,40,0,0,,6.0,21.062,5.222,0.2874,1.4792,0.3624,4.033
higgs-v3-4b,b8_program,hcol_qps_agg96_s6,40,0,0,,6.0,21.29,5.317,0.2782,1.2651,0.3195,4.004
higgs-v3-4b,b8_program,hcol_qps_agg96_s7,40,0,0,,6.0,21.185,5.189,0.2899,1.4986,0.3297,4.083
higgs-v3-4b,b8_program,hcol_qps_agg96_s8,40,0,0,,6.0,19.695,4.838,0.3266,1.5087,0.341,4.071
higgs-v3-4b,b8_program,hcol_qps_agg96_s9,40,0,0,,6.0,22.922,5.682,0.2794,1.4343,0.3557,4.034
higgs-v3-4b,b8_program,hdef_qps_agg32_s0,40,0,0,,4.0,14.011,3.529,0.2984,1.0886,0.6279,3.97
higgs-v3-4b,b8_program,hdef_qps_agg32_s1,40,0,0,,4.0,12.566,3.174,0.3824,1.0758,0.6181,3.959
higgs-v3-4b,b8_program,hdef_qps_agg32_s2,40,0,0,,4.0,15.511,3.878,0.2759,0.976,0.5067,4.0
higgs-v3-4b,b8_program,hdef_qps_agg32_s3,40,0,0,,4.0,13.916,3.5,0.3232,0.9735,0.4831,3.976
higgs-v3-4b,b8_program,hdef_qps_agg32_s4,40,0,0,,4.0,15.107,3.756,0.2906,0.9868,0.5108,4.022
higgs-v3-4b,b8_program,hdef_qps_agg32_s5,40,0,0,,4.0,16.171,4.042,0.3294,1.0302,0.6293,4.001
higgs-v3-4b,b8_program,hdef_qps_agg32_s6,40,0,0,,4.0,15.128,3.68,0.2646,1.0436,0.4171,4.111
higgs-v3-4b,b8_program,hdef_qps_agg32_s7,40,0,0,,4.0,21.109,5.29,0.3623,1.1706,0.6935,3.99
higgs-v3-4b,b8_program,hdef_qps_agg64_s0,40,0,0,,8.0,32.816,8.119,0.1461,0.7419,0.1834,4.042
higgs-v3-4b,b8_program,hdef_qps_agg64_s1,40,0,0,,8.0,24.502,5.983,0.1474,0.6954,0.1849,4.095
higgs-v3-4b,b8_program,hdef_qps_agg64_s2,40,0,0,,8.0,31.2,7.748,0.1402,0.7477,0.193,4.027
higgs-v3-4b,b8_program,hdef_qps_agg64_s3,40,0,0,,8.0,25.904,6.401,0.1669,0.7215,0.1986,4.047
higgs-v3-4b,b8_program,hdef_qps_agg64_s4,40,0,0,,8.0,25.534,6.33,0.1598,0.7823,0.214,4.034
higgs-v3-4b,b8_program,hdef_qps_agg64_s5,40,0,0,,8.0,20.988,5.133,0.1376,0.6664,0.1621,4.089
higgs-v3-4b,b8_program,hdef_qps_agg64_s6,40,0,0,,8.0,31.008,7.626,0.1562,0.7753,0.1776,4.066
higgs-v3-4b,b8_program,hdef_qps_agg64_s7,40,0,0,,8.0,39.856,9.967,0.1937,0.8222,0.2445,3.999
higgs-v3-4b,b8_program,hdef_qps_agg96_s0,40,0,0,,12.0,50.393,12.567,0.2318,1.0147,0.253,4.01
higgs-v3-4b,b8_program,hdef_qps_agg96_s1,40,0,0,,12.0,48.858,12.187,0.1912,0.8671,0.2126,4.009
higgs-v3-4b,b8_program,hdef_qps_agg96_s2,40,0,0,,12.0,32.094,7.958,0.1585,0.7692,0.2,4.033
higgs-v3-4b,b8_program,hdef_qps_agg96_s3,40,0,0,,12.0,39.409,9.69,0.1726,0.7538,0.2041,4.067
higgs-v3-4b,b8_program,hdef_qps_agg96_s4,40,0,0,,12.0,35.538,8.842,0.1692,0.7561,0.2147,4.019
higgs-v3-4b,b8_program,hdef_qps_agg96_s5,40,0,0,,12.0,45.067,11.016,0.2054,0.8686,0.2606,4.091
higgs-v3-4b,b8_program,hdef_qps_agg96_s6,40,0,0,,12.0,43.558,10.64,0.1756,0.8615,0.2102,4.094
higgs-v3-4b,b8_program,hdef_qps_agg96_s7,40,0,0,,12.0,44.358,11.054,0.1846,0.8871,0.2221,4.013
ming-flash-omni-2.0,b8_program,mdef_lad_c12,60,0,0,12,inf,14.423,3.506,1.7564,3.6346,,4.113
ming-flash-omni-2.0,b8_program,mdef_lad_c4,60,0,0,4,inf,12.815,3.166,0.6973,1.6658,,4.048
ming-flash-omni-2.0,b8_program,mdef_lad_c8,60,0,0,8,inf,14.091,3.466,1.0828,2.5844,,4.065
ming-flash-omni-2.0,b8_program,mdef_qps2,60,0,0,0,2.0,7.416,1.851,0.4103,1.3623,,4.007
ming-flash-omni-2.0,b8_program,mdef_qps4,60,0,0,0,4.0,12.138,3.006,0.5753,2.0934,,4.038
ming-flash-omni-2.0,b8_program,mdef_qps6,60,0,0,0,6.0,14.61,3.642,3.4398,7.9868,,4.012
